,Destination Port,Flow Duration,Total Fwd Packet,Total Backward Packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Bytes/Bulk.1,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
0,0,15003189,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3332624817297175,3750797.25,3902758.080582788,7240494.0,24939.0,15003189.0,3750797.25,3902758.080582788,7240494.0,24939.0,0,0,0,0,0,0,0,0,0,0,0,0.3332624817297175,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,762789.0,0.0,762789.0,762789.0,561140037154147.6,971923042179523.2,1683420097222043.0,6999906.0
1,0,15002078,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999722971710985,7501039.0,707663.9813301226,8001433.0,7000645.0,15002078.0,7501039.0,707663.9813301226,8001433.0,7000645.0,0,0,0,0,0,0,0,0,0,0,0,0.1999722971710985,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,561140037405715.0,971923041955618.0,1683420097215067.0,7000645.0
2,0,15002031,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999729236661356,7501015.5,707700.043775963,8001435.0,7000596.0,15002031.0,7501015.5,707700.043775963,8001435.0,7000596.0,0,0,0,0,0,0,0,0,0,0,0,0.1999729236661356,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,561140037405828.6,971923041955855.6,1683420097215455.0,7000596.0
3,59212,10240345,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292958879803366,5120172.5,7143316.44723321,10171260.0,69085.0,10240345.0,10240345.0,0.0,10240345.0,10240345.0,0,0,0,0,0,0,0,0,0,64,32,0.1953059198689107,0.0976529599344553,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,179,501,0,32,0.0,0.0,0.0,0.0,841710052070241.0,1190357756839165.0,1683420093969222.0,10171260.0
4,0,15002549,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999320382156392,3000509.8,4122160.7557776296,8001139.0,830.0,15002549.0,3000509.8,4122160.7557776296,8001139.0,830.0,0,0,0,0,0,0,0,0,0,0,0,0.3999320382156392,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1508.0,130.10764773832474,1600.0,1416.0,561140037407065.0,971923041960879.2,1683420097222492.0,6997564.0
5,0,637119,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.139130994366829,637119.0,0.0,637119.0,637119.0,637119.0,637119.0,0.0,637119.0,637119.0,0,0,0,0,0,0,0,0,0,0,0,3.139130994366829,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1683420097248143.0,0.0,1683420097248143.0,1683420097248143.0
6,0,15002035,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999728703472562,7501017.5,707698.6295624006,8001436.0,7000599.0,15002035.0,7501017.5,707698.6295624006,8001436.0,7000599.0,0,0,0,0,0,0,0,0,0,0,0,0.1999728703472562,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,561140037405817.6,971923041955833.2,1683420097215418.0,7000599.0
7,0,15002451,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999673253390396,7501225.5,709324.9751591297,8002794.0,6999657.0,15002451.0,7501225.5,709324.9751591297,8002794.0,6999657.0,0,0,0,0,0,0,0,0,0,0,0,0.1999673253390396,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,561140037408003.4,971923041959258.4,1683420097221559.0,6999657.0
8,0,15002665,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999644729786341,7501332.5,723636.8164103455,8013021.0,6989644.0,15002665.0,7501332.5,723636.8164103455,8013021.0,6989644.0,0,0,0,0,0,0,0,0,0,0,0,0.1999644729786341,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,561140037417080.0,971923041974794.4,1683420097248575.0,6989644.0
9,0,15003175,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666102341671013,5001058.333333333,3820914.621014363,7407919.0,595339.0,15003175.0,5001058.333333333,3820914.621014363,7407919.0,595339.0,0,0,0,0,0,0,0,0,0,0,0,0.2666102341671013,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,595339.0,0.0,595339.0,595339.0,561140037216832.4,971923042143092.2,1683420097242661.0,6999917.0
