Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.31.230.220-20.189.173.5-57890-443-6,172.31.230.220,57890,20.189.173.5,443,6,05/05/2023 04:53:31 PM,328243,9,7,3802.0,5028.0,2500.0,0.0,422.44444444444446,816.183819845614,2006.0,0.0,718.2857142857143,791.8267306858057,26900.802149626954,48.74437535606243,21882.866666666665,35959.03730211973,80858.0,8.0,248184.0,31022.999999999996,40869.05752347542,81990.0,236.0,249065.0,41510.83333333333,44164.40396707134,85231.0,259.0,0,0,0,0,200,152,27.418711137785117,21.32566421827731,0.0,2500.0,519.4117647058823,779.5212520213552,607653.3823529411,1,2,0,7,15,0,0,0,0.0,551.875,422.44444444444446,718.2857142857143,0,0,0,8830,9,35508,0,237,0,314,64240,2048,4,20,0,0,0,0,1.68332001142603E15,0.0,1.68332001142603E15,1.68332001142603E15,NeedManualLabel
172.31.230.220-20.189.173.5-57890-443-6,172.31.230.220,57890,20.189.173.5,443,6,05/05/2023 04:53:31 PM,164,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,189024.39024390242,12195.121951219511,164.0,0.0,164.0,164.0,164.0,164.0,0.0,164.0,164.0,0,0,0,0,0,1,0,0,0,40,0,12195.121951219511,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,1,15,0,0,501,0,0,20,0,0,0,0,1.683320011754774E15,0.0,1.683320011754774E15,1.683320011754774E15,NeedManualLabel
172.31.230.220-20.42.73.24-48506-443-6,172.31.230.220,48506,20.42.73.24,443,6,05/05/2023 04:54:15 PM,48829,7,6,2988.0,5024.0,2313.0,0.0,426.85714285714283,853.1092990880337,2500.0,0.0,837.3333333333334,1120.328820778376,164082.81963587215,266.23522906469515,4069.083333333333,4676.418238126139,11068.0,19.0,38292.0,6382.0,5164.863134682273,12301.0,293.0,39052.0,7810.4,6288.589492088031,15084.0,1109.0,0,0,0,0,160,132,143.35743103483586,122.8777980298593,0.0,2500.0,572.2857142857143,942.1544401057552,887654.9890109891,1,2,0,6,12,0,0,0,0.0,616.3076923076923,426.85714285714283,837.3333333333334,0,0,0,8012,7,206953,0,229,0,386,64240,16406,3,20,0,0,0,0,1.6833200559791E15,0.0,1.6833200559791E15,1.6833200559791E15,NeedManualLabel
172.31.230.220-20.42.73.24-48506-443-6,172.31.230.220,48506,20.42.73.24,443,6,05/05/2023 04:54:16 PM,194,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,159793.8144329897,10309.278350515464,194.0,0.0,194.0,194.0,194.0,194.0,0.0,194.0,194.0,0,0,0,0,0,1,0,0,0,40,0,10309.278350515464,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,1,15,0,0,501,0,0,20,0,0,0,0,1.683320056028631E15,0.0,1.683320056028631E15,1.683320056028631E15,NeedManualLabel
172.31.230.220-3.212.242.112-38150-443-6,172.31.230.220,38150,3.212.242.112,443,6,05/05/2023 04:53:39 PM,53045041,4,1,123.0,46.0,46.0,0.0,30.75,21.68524844220144,46.0,46.0,46.0,0.0,3.185971710343291,0.09425951805749383,1.326126025E7,2.6516095515612893E7,5.3035403E7,62.0,5.3045041E7,1.7681680333333336E7,3.0617222283987965E7,5.3035403E7,281.0,0,0,0,0,0,1,0,0,0,128,32,0.07540761444599506,0.018851903611498765,0.0,46.0,35.83333333333333,18.55172947912584,344.16666666666663,1,0,0,4,5,0,0,0,0.0,43.0,30.75,46.0,0,0,0,0,0,0,0,24,0,9,501,203,2,32,9357.0,0.0,9357.0,9357.0,8.416600361619205E14,1.1902869630442312E15,1.683320019288438E15,5.3035403E7,NeedManualLabel
3.212.242.112-172.31.230.220-443-38150-6,3.212.242.112,443,172.31.230.220,38150,6,05/05/2023 04:54:32 PM,157,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,12738.853503184713,157.0,0.0,157.0,157.0,157.0,157.0,0.0,157.0,157.0,0,0,0,0,0,0,0,0,0,64,0,12738.853503184713,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,203,0,0,32,0,0,0,0,1.683320072344027E15,0.0,1.683320072344027E15,1.683320072344027E15,NeedManualLabel
172.31.230.220-192.0.73.2-59016-443-6,172.31.230.220,59016,192.0.73.2,443,6,05/05/2023 04:54:16 PM,30271209,10,11,1247.0,882.0,585.0,0.0,124.69999999999999,208.42427348506646,271.0,0.0,80.18181818181817,106.46860399368275,70.33085464145155,0.6937284863647171,1513560.45,6764933.940539378,3.0254579E7,0.0,13615.0,1512.7777777777778,2037.3396733103798,5071.0,15.0,3.0267266E7,3026726.6,9566892.28206577,3.0254579E7,0.0,0,0,0,0,220,232,0.3303468982689129,0.3633815880958042,0.0,585.0,96.77272727272727,158.04066137975585,24976.85064935065,1,2,0,13,20,0,0,0,1.0,101.38095238095238,124.7,80.18181818181819,0,0,0,2066,11,219274,0,59,0,42,64240,83,6,20,16629.0,0.0,16629.0,16629.0,8.41660043536989E14,1.1902870056911035E15,1.683320056819399E15,3.0254579E7,NeedManualLabel
172.31.230.220-192.0.73.2-59016-443-6,172.31.230.220,59016,192.0.73.2,443,6,05/05/2023 04:54:47 PM,183,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10928.96174863388,183.0,0.0,183.0,183.0,183.0,183.0,0.0,183.0,183.0,0,0,0,0,0,0,0,0,0,40,0,10928.96174863388,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,501,0,0,20,0,0,0,0,1.683320087090858E15,0.0,1.683320087090858E15,1.683320087090858E15,NeedManualLabel
172.31.230.220-216.137.45.84-50376-443-6,172.31.230.220,50376,216.137.45.84,443,6,05/05/2023 04:53:56 PM,53044943,4,2,102.0,39.0,39.0,0.0,25.5,18.411952639521967,39.0,0.0,19.5,27.577164466275352,2.6581233200684182,0.11311163064120928,1.06089886E7,2.3708567769620866E7,5.302016E7,29.0,5.3044943E7,1.7681647666666664E7,3.06040518071906E7,5.302016E7,285.0,563.0,563.0,0.0,563.0,563.0,1,0,0,0,128,64,0.07540775376080619,0.037703876880403095,0.0,39.0,25.714285714285715,18.400310556385413,338.5714285714285,1,0,0,4,6,0,0,0,0.0,30.0,25.5,19.5,0,0,0,0,0,0,0,17,0,6,501,135,2,32,24498.0,0.0,24498.0,24498.0,8.416600446545735E14,1.1902869750762132E15,1.683320036288987E15,5.302016E7,NeedManualLabel
216.137.45.84-172.31.230.220-443-50376-6,216.137.45.84,443,172.31.230.220,50376,6,05/05/2023 04:54:49 PM,507,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3944.7731755424065,507.0,0.0,507.0,507.0,507.0,507.0,0.0,507.0,507.0,0,0,0,0,0,0,0,0,0,64,0,3944.7731755424065,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,135,0,0,32,0,0,0,0,1.683320089358213E15,0.0,1.683320089358213E15,1.683320089358213E15,NeedManualLabel
