,index, Destination Port,Flow Duration,Total Fwd Packet,Total Backward Packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s, Min Packet Length, Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count, CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Bytes/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,1,0,15003189,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.33326248172971756,3750797.25,3902758.080582788,7240494.0,24939.0,1.5003189E7,3750797.25,3902758.080582788,7240494.0,24939.0,0,0,0,0,0,0,0,0,0,0,0,0.33326248172971756,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,762789.0,0.0,762789.0,762789.0,5.611400371541476E14,9.719230421795231E14,1.683420097222043E15,6999906.0,NeedManualLabel
1,2,0,15002078,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.19997229717109857,7501039.0,707663.9813301226,8001433.0,7000645.0,1.5002078E7,7501039.0,707663.9813301226,8001433.0,7000645.0,0,0,0,0,0,0,0,0,0,0,0,0.19997229717109857,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.61140037405715E14,9.719230419556181E14,1.683420097215067E15,7000645.0,NeedManualLabel
2,3,0,15002031,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1999729236661356,7501015.5,707700.043775963,8001435.0,7000596.0,1.5002031E7,7501015.5,707700.043775963,8001435.0,7000596.0,0,0,0,0,0,0,0,0,0,0,0,0.1999729236661356,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.611400374058286E14,9.719230419558555E14,1.683420097215455E15,7000596.0,NeedManualLabel
3,4,59212,10240345,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292958879803366,5120172.5,7143316.44723321,1.017126E7,69085.0,1.0240345E7,1.0240345E7,0.0,1.0240345E7,1.0240345E7,0,0,0,0,0,0,0,0,0,64,32,0.1953059198689107,0.09765295993445534,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,179,501,0,32,0,0,0,0,8.41710052070241E14,1.190357756839165E15,1.683420093969222E15,1.017126E7,NeedManualLabel
4,5,0,15002549,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3999320382156392,3000509.8,4122160.7557776296,8001139.0,830.0,1.5002549E7,3000509.8,4122160.7557776296,8001139.0,830.0,0,0,0,0,0,0,0,0,0,0,0,0.3999320382156392,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1508.0,130.10764773832474,1600.0,1416.0,5.61140037407065E14,9.719230419608791E14,1.683420097222492E15,6997564.0,NeedManualLabel
5,6,0,637119,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3.1391309943668295,637119.0,0.0,637119.0,637119.0,637119.0,637119.0,0.0,637119.0,637119.0,0,0,0,0,0,0,0,0,0,0,0,3.1391309943668295,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.683420097248143E15,0.0,1.683420097248143E15,1.683420097248143E15,NeedManualLabel
6,7,0,15002035,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.19997287034725622,7501017.5,707698.6295624006,8001436.0,7000599.0,1.5002035E7,7501017.5,707698.6295624006,8001436.0,7000599.0,0,0,0,0,0,0,0,0,0,0,0,0.19997287034725622,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.611400374058176E14,9.719230419558331E14,1.683420097215418E15,7000599.0,NeedManualLabel
7,8,0,15002451,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1999673253390396,7501225.5,709324.9751591297,8002794.0,6999657.0,1.5002451E7,7501225.5,709324.9751591297,8002794.0,6999657.0,0,0,0,0,0,0,0,0,0,0,0,0.1999673253390396,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.611400374080034E14,9.719230419592585E14,1.683420097221559E15,6999657.0,NeedManualLabel
8,9,0,15002665,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.19996447297863412,7501332.5,723636.8164103455,8013021.0,6989644.0,1.5002665E7,7501332.5,723636.8164103455,8013021.0,6989644.0,0,0,0,0,0,0,0,0,0,0,0,0.19996447297863412,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.6114003741708E14,9.719230419747944E14,1.683420097248575E15,6989644.0,NeedManualLabel
9,10,0,15003175,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2666102341671013,5001058.333333333,3820914.621014363,7407919.0,595339.0,1.5003175E7,5001058.333333333,3820914.621014363,7407919.0,595339.0,0,0,0,0,0,0,0,0,0,0,0,0.2666102341671013,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,595339.0,0.0,595339.0,595339.0,5.611400372168324E14,9.719230421430922E14,1.683420097242661E15,6999917.0,NeedManualLabel
